site,AvgPrec2013-2,AvgPrec2013-3,AvgPrec2014-1,AvgPrec2014-2,AvgPrec2014-3,AvgPrec2015-1,AvgPrec2015-2,AvgPrec2015-3,AvgPrec2016-1,AvgPrec2016-2,AvgPrec2016-3,AvgPrec2017-1,AvgPrec2017-2,AvgPrec2017-3,Det2013-2,Det2013-3,Det2014-1,Det2014-2,Det2014-3,Det2015-1,Det2015-2,Det2015-3,Det2016-1,Det2016-2,Det2016-3,Det2017-1,Det2017-2,Det2017-3
AUWE,0.20,0.05,0.16,0.10,0.03,0.11,0.25,0.12,0.07,0.09,0.11,0.09,0.39,0.23,9533,9954,9533,13028,9954,15296,15296,9938,10011,15296,9956,12927,13028,9954
BELA,0.07,0.16,0.09,0.02,0.03,0.00,0.26,0.21,0.18,0.10,0.04,0.13,0.65,0.05,12927,9533,9956,9956,13028,12927,13028,15343,9938,9954,10011,9533,10011,15297
BLMA,0.20,0.05,0.16,0.10,0.03,0.11,0.25,0.12,0.07,0.09,0.11,0.09,0.39,0.23,9956,9938,12927,9954,9954,9954,9938,13028,12927,15343,12927,13028,9938,12927
BLWO,0.20,0.05,0.16,0.10,0.03,0.11,0.25,0.12,0.07,0.09,0.11,0.09,0.39,0.23,9938,12927,9954,9956,9533,13028,9954,10011,13028,9938,15296,10011,12927,15296
BUWO,0.02,0.17,0.05,0.30,0.02,0.21,0.22,0.09,0.13,0.07,0.02,0.17,0.34,0.00,12927,9533,10011,12927,12927,12927,12927,12927,15296,9954,9954,9938,13028,10011
CACH,0.02,0.17,0.05,0.01,0.02,0.21,0.10,0.09,0.21,0.47,0.02,0.14,0.38,0.00,9954,9956,9956,13028,13028,9533,9533,15296,9954,12927,9954,9533,10011,13028
CAHI,0.09,0.03,0.05,0.09,0.03,0.23,0.13,0.15,0.19,0.35,0.08,0.11,0.02,0.00,9938,9954,9954,9956,9533,13028,9954,13028,13028,15343,9956,12927,13028,15296
CRLA,0.06,0.16,0.10,0.03,0.03,0.18,0.26,0.21,0.18,0.10,0.04,0.13,0.65,0.05,9954,9956,10011,9533,9956,15296,10011,9954,9954,12927,9938,9956,9956,13028
FRKA,0.02,0.14,0.11,0.11,0.01,0.15,0.15,0.16,0.23,0.04,0.01,0.21,0.13,0.00,13028,12927,9533,9938,9938,13028,12927,13028,10011,9938,12927,10011,12927,15296
FRME,0.11,0.03,0.11,0.15,0.12,0.09,0.11,0.05,0.21,0.32,0.07,0.14,0.10,0.12,12927,9956,10011,12927,12927,12927,9533,9533,9956,9956,9938,15297,15343,15296
FULT,,,,,,,,,,,,0.00,0.57,0.01,,,,,,,,,,,,9956,15297,15297
GANG,,,,,,,,,,,,0.00,0.41,0.03,,,,,,,,,,,,10011,15296,9533
GAPA,,,,,,0.10,0.11,0.05,0.02,0.05,0.01,0.00,0.13,0.00,0,,,,,9938,10011,15296,9938,10011,9954,15343,15296,9954
HAWO,0.07,0.11,0.14,0.08,0.02,0.24,0.01,0.06,0.20,0.02,0.03,0.09,0.14,0.00,9938,9954,9954,9533,9533,9954,9954,10011,12927,13028,15296,12927,9954,12927
HUCR,0.21,0.04,0.07,0.11,0.03,0.24,0.14,0.11,0.26,0.33,0.13,0.04,0.07,0.00,9533,9938,12927,13028,9938,15296,15296,9938,12927,13028,15296,13028,9938,12927
INRO,0.14,0.13,0.13,0.01,0.16,0.27,0.10,0.09,0.20,0.16,0.01,0.16,0.44,0.00,9956,10011,13028,9938,12927,9533,13028,9956,9956,10011,10011,9954,15343,15297
JAPA,,,,,,,,,0.02,0.06,0.06,0.00,0.13,0.02,0,,,,,,,,9956,9956,9533,9533,15343,15297
LPZO,0.05,0.00,0.20,0.03,0.02,0.14,0.12,0.19,0.21,0.25,0.05,0.17,0.16,0.01,10011,13028,13028,10011,9956,15343,9954,12927,9533,9533,15343,15296,15296,9533
MCPA,,,,,,,,,,,,0.10,0.03,0.02,,,,,,,,,,,,9956,15296,9954
MUSP,0.09,0.11,0.14,0.08,0.02,0.24,0.01,0.06,0.20,0.17,0.01,0.09,0.14,0.00,9533,9938,12927,12927,9954,9938,9938,9938,15242,15343,9956,13028,9938,9954
NOIS,,,,,,0.16,0.12,0.16,0.07,0.11,0.00,0.12,0.39,0.02,0,,,,,9938,12927,15296,15343,9533,15343,9954,15343,9533
NOPA,,,,,,0.23,0.10,0.17,0.20,0.16,0.07,0.24,0.15,0.00,0,,,,,10011,10011,9954,9533,9956,9533,15297,15297,15343
PILS,,,,,,0.09,0.11,0.05,0.02,0.07,0.01,0.00,0.13,,0,,,,,15343,12927,15343,15343,12927,9938,15297,9954,
PULL,,,,,,,,,0.02,0.06,0.04,0.00,0.13,0.09,0,,,,,,,,9954,9954,10011,15296,10011,12927
SIXO,,,,,,,,0.19,0.02,0.06,0.04,0.05,0.43,0.02,0,,,,,,,,9533,9533,15343,15296,9954,9938
STCH,0.09,0.03,0.05,0.09,0.03,0.23,0.13,0.15,0.17,0.32,0.08,,0.02,0.00,13028,12927,9533,13028,9938,9954,9938,10011,10011,9938,12927,,12927,13028
THWO,0.11,0.03,0.11,0.15,0.12,0.14,0.11,0.05,0.21,0.32,0.05,0.14,0.10,0.00,10011,9533,13028,10011,9956,10011,13028,9954,9938,10011,9533,15343,15297,13028
WHEA,0.11,0.03,0.11,0.15,0.12,,,,,,,,,,9954,10011,9956,9533,13028,9533,,,,,,,,
