site,trt,imperv_1000,roads_1000,edge_1000,dist2water,canopy_1000
AUWE,R,0.04487994,5389.508448,43622.5,675,0.22649099
BELA,U,0.043128287,3316.002221,21385,228,0.612555561
BLMA,R,0.034701382,4299.536123,36108.5,373,0.237659807
BLWO,R,0.147594668,7249.259889,50243.5,38,0.403032655
BUWO,U,0.162386793,5183.259468,41451,195,0.296450476
CACH,U,0.21534541,5657.443302,34042,295,0.65257238
CAHI,R,0.053106948,7876.603707,98346.5,114,0.36855568
CRLA,U,0.19828247,3636.626127,113459,1,0.406515589
FRKA,R,0.047776232,4018.625538,64745,126,0.231455651
FRME,U,0.267339528,4676.76829,132451.5,175,0.200825183
GAPA,U,0.474032307,12677.17613,153790,72,0.227570636
HAWO,R,0.033533507,8376.977122,58333,165,0.217561157
HUCR,R,0.058264427,8894.697587,74486,118,0.301193249
INRO,U,0.300936401,10065.21588,71607,117,0.472321146
LPZO,U,0.481040424,16780.47269,111828,51,0.258173013
MUSP,R,0.031341315,4996.908216,35571.5,135,0.056333325
NOIS,U,0.535423512,3528.23838,16698,164,0.069593322
NOPA,U,0.399557042,6420.685199,95291,25,0.329552993
PILS,U,0.650259549,18648.55639,53610,453,0.06056906
STCH,R,0.075011682,5490.840625,96725,26,0.551902945
THWO,U,0.205999041,8768.681844,102288.5,275,0.604811494
WHEA,U,0.322712856,9093.131294,124102,400,0.45402094
FULT,U,0.8255668,61861.959,48466,1151,0.05575814
MCPA,U,0.5669416,30195.1774,93410,30,0.14679062
GANG,U,0.7273469,47431.3583,78514,640,0.09373333
SIXO,U,0.5787669,42761.86401,154465.5,1133,0.1808974
JAPA,U,0.2816666,14258.94288,88650,40,0.24599425
PULL,U,0.5509655,33645.68077,110833.5,610,0.15833694
